mp-id,formula,n,band_gap,poly_total,poly_electronic
mp-558118,BeF2,1.32,8.09,3.39,1.74
mp-1340,Ga2Se3,2.82,1.04,12.03,7.96
mp-8484,ZnO2,2.04,2.13,10.8,4.18
mp-871,FeSi,9.53,0.18,112.34,90.79
mp-559091,SiO2,1.47,5.44,3.84,2.15
mp-2030,RuS2,4.08,0.67,20.69,16.69
mp-20066,CO2,1.37,6.63,2.08,1.87
mp-468,AlF3,1.39,7.6,4.99,1.94
mp-23297,BrF3,1.65,2.16,8.97,2.73
mp-1771,NO2,1.49,2.69,2.58,2.23
mp-19326,MnO2,3.18,1.0,17.32,10.14
mp-556197,FeF3,1.63,3.11,8.61,2.67
mp-1880,SbF3,1.68,4.44,9.48,2.83
mp-27871,RhBr3,2.47,1.26,6.63,6.12
mp-19399,Cr2O3,2.51,2.44,11.05,6.32
mp-23739,SiH4,1.49,6.56,2.47,2.22
mp-1707,BaN6,1.73,3.82,7.57,2.98
mp-504769,N2O5,1.74,0.66,4.01,3.03
mp-1317,CoSb3,9.05,0.17,92.27,81.92
mp-28395,B6P,2.74,2.48,7.82,7.53
mp-624,B6As,2.77,2.65,8.08,7.67
mp-988,Si3N4,2.07,4.25,8.16,4.26
mp-18759,Mn3O4,2.49,0.69,12.69,6.22
mp-25620,V2O5,2.21,2.16,13.67,4.88
mp-23237,BiF3,1.88,4.68,41.19,3.54
mp-1346,B6O,2.4,1.85,6.4,5.75
mp-1582,As2O3,1.88,4.03,6.48,3.52
mp-28027,AsF3,1.48,5.36,5.24,2.19
mp-306,B2O3,1.65,6.3,4.79,2.72
mp-730,P2Pt,4.43,1.02,22.83,19.65
mp-23291,PbCl2,2.17,3.79,34.55,4.71
mp-554089,SiO2,1.5,5.66,3.99,2.25
mp-409,NaS,1.92,0.87,7.43,3.69
mp-7440,NaP,2.86,0.87,15.33,8.18
mp-7457,SnF2,1.82,3.25,15.2,3.32
mp-2858,ZrO2,2.31,3.47,21.28,5.35
mp-2632,TlF3,1.97,1.26,15.97,3.89
mp-27488,Ta3N5,3.29,1.21,48.48,10.83
mp-570553,FeP4,4.41,0.8,23.67,19.47
mp-555235,SiO2,1.47,5.5,3.9,2.17
mp-13682,PdS2,3.3,0.6,11.54,10.9
mp-9062,RbS,1.74,1.56,6.24,3.04
mp-1345,CaP,2.86,0.34,13.22,8.2
mp-22908,BiCl3,1.98,3.35,60.46,3.93
mp-23312,MoBr3,2.12,0.69,5.23,4.51
mp-9063,RbSe,1.83,0.91,6.27,3.36
mp-23280,AsCl3,1.57,3.99,3.3,2.47
mp-1943,GaSe,2.55,1.24,8.61,6.49
mp-7456,SnF2,1.82,3.26,14.87,3.33
mp-29422,HfCl4,1.65,4.16,4.54,2.71
mp-9984,SnS2,2.47,1.49,12.48,6.12
mp-9816,GeF4,1.34,5.5,2.73,1.79
mp-1224,HgO,2.36,1.19,9.78,5.59
mp-558836,MoF6,1.39,4.25,2.56,1.92
mp-9920,TiS3,3.17,0.23,14.62,10.04
mp-557308,ZnS,2.45,2.02,9.39,5.99
mp-9064,RbTe,2.05,0.43,6.77,4.2
mp-561664,TeF4,1.61,4.02,10.99,2.59
mp-1922,RuSe2,4.43,0.31,25.71,19.58
mp-23230,PCl3,1.52,4.03,2.76,2.31
mp-9889,GaS,2.31,1.86,7.65,5.36
mp-2418,PdSe2,3.66,0.51,14.4,13.42
mp-27529,PI3,1.91,2.27,4.11,3.64
mp-7441,KP,2.53,1.03,11.24,6.41
mp-7595,GeF2,1.7,4.06,23.92,2.9
mp-1554,KTe,2.17,0.2,7.39,4.73
mp-9854,YP5,3.64,0.13,15.11,13.24
mp-10281,ZnS,2.42,2.05,9.19,5.86
mp-588,GaF3,1.52,4.71,6.72,2.3
mp-10694,ScF3,1.49,6.07,8.36,2.23
mp-30034,MgBr2,1.74,4.47,5.92,3.03
mp-571035,OsCl4,2.05,0.51,5.1,4.19
mp-541582,ReSe2,3.42,1.14,12.11,11.68
mp-1253,BaSe,2.3,1.95,14.13,5.29
mp-1394,Rb2O,1.87,1.32,14.11,3.49
mp-570886,BeI2,1.79,4.07,3.97,3.19
mp-571166,CaBr2,1.76,4.45,7.68,3.11
mp-1039,MgTe,2.34,2.36,8.0,5.49
mp-2758,SrSe,2.28,2.23,11.89,5.18
mp-2507,GaS,2.32,1.88,7.57,5.4
mp-720,TlF,1.95,3.2,20.91,3.8
mp-568656,SiC,2.67,2.01,10.52,7.12
mp-562100,NbS3,3.07,0.4,10.26,9.41
mp-9947,SiC,2.72,1.85,10.83,7.39
mp-29172,SeF4,1.52,4.14,6.68,2.31
mp-9946,ZnS,2.42,2.04,9.23,5.87
mp-539,Ga2S3,2.42,1.7,10.23,5.87
mp-7667,K2S3,1.97,1.29,8.01,3.89
mp-2517,Ca2Si,3.97,0.29,29.42,15.76
mp-566285,FeF3,1.49,2.68,6.15,2.22
mp-22872,SbCl3,1.72,3.74,7.67,2.95
mp-2160,Sb2Se3,3.97,0.76,63.53,15.76
mp-22855,HgCl2,1.75,2.87,5.14,3.08
mp-2184,As2O3,1.67,4.01,3.83,2.8
mp-7623,MgAs4,3.73,0.81,17.43,13.88
mp-22889,ZnCl2,1.68,4.04,5.12,2.81
mp-30106,AsCl5,1.59,1.44,3.07,2.54
mp-561258,ZnS,2.43,2.03,9.29,5.91
mp-17173,Rh2S3,5.03,0.19,27.31,25.29
mp-568233,CdI2,2.16,2.37,10.54,4.68
mp-713,KAs,2.79,0.67,12.8,7.79
mp-13456,ZnS,2.43,2.04,9.27,5.9
mp-23184,BCl3,1.43,4.71,2.2,2.03
mp-19795,InS,2.96,1.35,15.16,8.77
mp-7709,ZnF2,1.6,3.56,8.38,2.55
mp-1958,SrTe,2.43,1.76,12.4,5.9
mp-1541,BeSe,2.45,2.67,7.72,6.0
mp-252,BeTe,2.72,2.02,8.5,7.41
mp-7826,HgO,2.36,1.31,10.33,5.58
mp-2076,ZrSe2,3.51,0.33,58.33,12.3
mp-11327,Rb2Se,1.82,1.8,6.79,3.31
mp-7808,BaP3,3.17,0.57,16.29,10.02
mp-30139,BeBr2,1.59,5.18,3.23,2.51
mp-30373,RbAu,2.3,0.37,9.83,5.29
mp-557835,TlF,2.0,2.99,57.69,4.02
mp-11714,SiC,2.67,2.22,10.54,7.13
mp-550172,SnO2,2.19,0.81,12.59,4.79
mp-27630,CrCl3,2.01,1.41,5.33,4.02
mp-223,GeO2,1.76,3.25,6.36,3.11
mp-28483,WBr6,2.39,1.07,8.47,5.7
mp-27987,BrF5,1.48,3.44,3.16,2.18
mp-571518,WCl6,1.88,1.92,4.94,3.55
mp-7812,GeO2,1.7,3.28,5.71,2.91
mp-7955,Li3Sb,2.88,0.48,12.39,8.29
mp-402,CdP2,3.11,1.49,11.75,9.66
mp-19395,MnO2,2.94,1.09,14.16,8.66
mp-757,Li3As,2.75,0.64,12.09,7.56
mp-554278,TiO2,2.49,2.68,35.47,6.2
mp-555763,ZnS,2.39,2.06,9.34,5.73
mp-14018,K3As,3.71,0.11,20.16,13.8
mp-23225,BBr3,1.49,3.83,2.37,2.22
mp-2008,FeAs2,5.53,0.28,48.93,30.62
mp-2150,BaTe2,2.97,0.34,13.33,8.83
mp-2074,Li3Sb,3.19,0.7,22.31,10.19
mp-22691,InSe,2.68,0.54,9.68,7.18
mp-31040,NbCl4,1.89,1.08,6.3,3.57
mp-2079,Rb2P3,2.13,0.76,8.15,4.55
mp-7956,Na3Sb,3.31,0.4,17.54,10.98
mp-570219,InBr3,1.91,2.49,7.17,3.66
mp-557539,MoF3,1.59,3.57,4.54,2.52
mp-567504,CrCl3,1.94,1.52,4.96,3.76
mp-13868,PdF4,2.35,0.71,6.22,5.5
mp-365,MgB4,3.41,0.36,24.54,11.61
mp-567505,SiC,2.66,1.78,10.49,7.1
mp-13852,Ge3N4,2.27,1.89,10.21,5.16
mp-30275,BaP8,3.34,0.89,14.04,11.18
mp-554573,SiO2,1.48,5.62,3.9,2.19
mp-7931,SrP,2.73,0.46,12.79,7.48
mp-9922,HfS3,2.54,1.13,9.6,6.47
mp-304,Ca2Ge,4.07,0.31,29.9,16.56
mp-685146,CdTe,3.02,0.62,12.48,9.1
mp-23870,NaH,1.77,3.74,10.34,3.13
mp-32669,Ag2S,2.97,1.3,11.71,8.85
mp-558852,FeF3,1.61,2.84,8.65,2.6
mp-862868,PbBr2,2.21,2.57,21.97,4.88
mp-753746,Rb2O,2.05,0.45,9.06,4.21
mp-20027,FeP2,4.8,0.43,37.6,23.05
mp-556585,MnF2,1.54,2.77,7.67,2.38
mp-867785,RbF2,1.43,1.34,3.42,2.04
mp-24084,KH,1.65,3.43,8.32,2.72
mp-7897,K3P,2.97,0.21,15.78,8.8
mp-714882,MnO,2.21,1.68,18.23,4.89
mp-632326,HCl,1.43,5.82,2.77,2.04
mp-2672,K2O2,1.59,2.34,6.31,2.54
mp-754815,YBr3,1.77,3.98,5.67,3.12
mp-634859,CaO2,1.84,2.73,19.63,3.38
mp-554405,ZnS,2.42,2.07,9.19,5.87
mp-23710,MgH2,1.99,3.71,10.34,3.95
mp-24721,RbH,1.67,2.92,8.88,2.8
mp-22142,SiSe2,1.88,2.17,4.42,3.53
mp-14017,K3Sb,2.84,0.39,13.83,8.09
mp-684969,Sc2S3,2.84,0.93,24.03,8.08
mp-27639,IBr,2.13,1.4,9.59,4.55
mp-556742,GaS,2.32,2.01,7.55,5.4
mp-38970,Ga2Te3,3.42,0.64,15.73,11.67
mp-570081,CuI,2.34,1.63,8.04,5.46
mp-27729,ICl3,1.78,1.77,4.71,3.16
mp-27770,RhCl3,2.22,1.52,5.44,4.92
mp-715434,NiO,2.25,2.32,14.41,5.07
mp-11342,GaSe,2.56,1.22,8.68,6.53
mp-23933,AlH3,2.12,2.2,11.72,4.49
mp-568690,CdBr2,1.92,2.88,7.79,3.68
mp-32616,Ga2S3,2.46,1.81,9.99,6.06
mp-11718,RbF,1.43,5.52,7.27,2.06
mp-558134,TlF,2.0,3.01,39.49,4.0
mp-715460,CoO,2.53,0.59,10.46,6.39
mp-568722,CdBr2,1.94,2.86,7.99,3.74
mp-555410,ZnS,2.43,2.06,9.2,5.89
mp-27725,AuI,2.16,2.09,5.09,4.67
mp-545820,SnO,2.65,0.54,16.8,7.04
mp-27666,IrCl3,2.11,1.89,4.81,4.44
mp-27678,Y2Cl3,2.56,0.76,9.87,6.53
mp-7868,PtO2,2.73,1.52,9.29,7.44
mp-15668,NaSe,2.51,0.48,10.3,6.28
mp-11674,Al2Se3,2.43,1.8,9.35,5.93
mp-23222,Li3Bi,3.71,0.34,27.41,13.78
mp-7904,CdP4,3.58,0.65,25.16,12.82
mp-11713,SiC,2.68,1.95,10.59,7.18
mp-15556,Rb2As3,2.35,0.4,9.1,5.53
mp-15951,BeF2,1.34,8.32,3.49,1.8
mp-15622,HfSe3,3.09,0.32,13.04,9.55
mp-7548,BaSe3,2.86,0.93,16.35,8.17
mp-559550,SiO2,1.41,5.61,3.39,2.0
mp-1581,As2O3,1.85,3.62,6.57,3.41
mp-502,As4S5,2.11,1.99,5.45,4.45
mp-15661,Sc4C3,5.35,0.33,76.72,28.67
mp-15649,As2Ir,4.62,0.81,28.91,21.36
mp-567907,P3N5,2.0,3.55,8.22,4.02
mp-14289,Ba3P4,3.12,0.48,19.43,9.75
mp-16031,Sn3N4,3.09,0.23,18.38,9.56
mp-1247,Sb2Ir,4.99,0.49,34.62,24.86
mp-558380,Cr2F5,1.65,1.47,5.99,2.71
mp-23290,PtCl2,1.9,1.82,3.73,3.62
mp-556767,ClF3,1.5,2.58,3.5,2.24
mp-557266,HgO2,2.52,0.29,11.3,6.37
mp-542846,AsS,2.1,2.02,4.85,4.41
mp-7944,NaSb,3.76,0.6,19.73,14.14
mp-27988,IF7,1.41,1.47,2.5,1.98
mp-569152,SnCl2,2.09,3.07,54.82,4.37
mp-33024,H2S,1.6,4.09,5.5,2.55
mp-561397,SO3,1.51,5.14,5.73,2.28
mp-2340,Na2O2,1.58,1.74,6.17,2.49
mp-568971,Ag2Se,3.32,0.97,15.56,11.05
mp-19372,WO2,2.37,1.24,11.33,5.62
mp-754658,TeO3,2.07,1.25,9.8,4.28
mp-31050,Cl2O7,1.48,3.66,3.14,2.19
mp-401,Sc2S3,2.83,0.64,22.76,7.99
mp-2310,CdO2,2.11,1.25,10.16,4.46
mp-226,FeS2,4.61,0.46,28.24,21.21
mp-864746,MoBr3,2.14,0.7,5.33,4.59
mp-8713,K2MnS2,2.0,0.97,9.16,3.98
mp-5347,KAlF4,1.39,6.79,10.63,1.94
mp-568598,Cu2HgI4,2.93,0.3,12.02,8.59
mp-8719,K2MnTe2,2.2,0.85,9.06,4.85
mp-7604,Mg3NF3,1.68,3.58,9.01,2.81
mp-23940,NaHO,1.53,2.82,6.37,2.33
mp-5048,LiGaTe2,2.73,1.59,10.28,7.47
mp-9146,CdHgO2,2.41,0.37,9.58,5.81
mp-8281,Ba(CdAs)2,9.88,0.16,110.48,97.63
mp-7090,NaMgSb,3.08,1.04,18.11,9.5
mp-5795,CaMg2N2,2.42,2.0,18.33,5.86
mp-8658,CsNaSe,2.02,2.03,9.65,4.09
mp-7909,Al2CdTe4,2.83,1.62,10.72,7.98
mp-23486,RbNiCl3,1.87,0.72,10.28,3.5
mp-15703,BeCN2,2.19,3.85,7.15,4.79
mp-7439,K3Cu3P2,2.7,1.29,11.66,7.28
mp-10408,K2CN2,1.64,3.15,7.28,2.67
mp-7979,K2PdF6,1.57,2.04,8.77,2.46
mp-541911,HfNCl,2.22,2.21,10.74,4.94
mp-9732,BaNaP,2.94,0.86,21.1,8.65
mp-7104,CsCaF3,1.52,6.9,9.2,2.31
mp-9569,Ca(ZnP)2,3.33,0.88,20.23,11.12
mp-3744,NaNbO2,2.86,1.38,11.2,8.2
mp-570324,Rb2TeBr6,1.92,2.1,12.39,3.69
mp-7077,KAuS,2.08,2.1,13.63,4.34
mp-7589,Mg2NF,1.95,2.13,11.06,3.79
mp-27422,CsBiF6,1.48,2.82,5.87,2.19
mp-3762,VCu3S4,2.68,1.03,7.65,7.21
mp-764673,Na3VO4,1.63,3.9,5.5,2.65
mp-28479,Sc2CCl2,2.59,0.88,20.94,6.71
mp-570256,Ag2HgI4,2.33,1.1,9.32,5.42
mp-7949,Rb2GeF6,1.44,5.8,7.53,2.07
mp-37879,LiYSe2,2.65,1.55,24.3,7.04
mp-7907,Al2ZnSe4,2.51,2.15,9.18,6.29
mp-23025,LaClO,2.07,4.07,18.31,4.29
mp-30062,Cs2PtBr6,1.88,1.43,7.78,3.52
mp-7849,AlAsO4,1.56,4.25,4.29,2.42
mp-29585,K4CdAs2,2.33,0.61,8.88,5.41
mp-29209,Ba(MgBi)2,4.13,0.4,24.15,17.09
mp-31212,K2MgF4,1.41,6.41,6.78,1.99
mp-8402,RbMgF3,1.48,6.94,6.48,2.19
mp-3448,KMgF3,1.44,6.95,6.88,2.06
mp-3481,KSnAs,3.31,0.34,14.16,10.96
mp-14205,K3Cu3As2,2.79,1.28,12.31,7.78
mp-7297,Cs2SnF6,1.48,5.34,8.26,2.2
mp-23949,RbCaH3,1.77,3.27,11.55,3.15
mp-30460,YNiBi,5.17,0.21,29.37,26.76
mp-752658,Y2SeO2,2.35,2.16,15.34,5.52
mp-5394,LaSF,2.36,1.48,18.82,5.55
mp-5693,NaCrS2,2.92,0.98,13.53,8.55
mp-569028,Rb2SnBr6,1.81,1.31,11.0,3.26
mp-9385,RbAu3Se2,2.39,1.73,12.16,5.69
mp-33857,CrSbO4,2.28,0.86,9.31,5.2
mp-15777,Zn(GaTe2)2,3.25,1.02,13.55,10.57
mp-5072,Rb2HgO2,1.74,2.02,7.41,3.02
mp-9250,RbLiSe,2.02,2.31,8.97,4.1
mp-549158,InCuO2,2.35,0.24,8.96,5.5
mp-2998,BaTiO3,2.62,1.67,7.87,6.87
mp-9127,Ba(SbO3)2,1.86,2.86,9.94,3.45
mp-697133,Cs2CaH4,1.79,3.01,8.9,3.2
mp-8224,CaSnF6,1.38,5.38,4.8,1.89
mp-14588,Na2PtSe2,2.74,0.86,14.24,7.49
mp-22958,KBrO3,1.66,3.85,7.12,2.74
mp-9610,Li2CN2,1.64,3.72,5.4,2.7
mp-24341,CsBeH3,1.5,3.22,5.04,2.25
mp-8452,NaLiS,1.98,3.05,10.19,3.92
mp-3821,K2PtF6,1.53,2.57,7.89,2.35
mp-7505,K2P2Pd,2.76,1.08,11.36,7.63
mp-556417,Rb2NiF6,1.5,2.42,5.2,2.24
mp-7436,KCuTe,3.0,0.6,12.05,8.97
mp-23513,K2PtCl6,1.78,1.85,9.51,3.18
mp-23383,Rb2TeBr6,1.93,2.05,14.23,3.73
mp-9564,Ca(MgAs)2,3.01,1.26,16.28,9.08
mp-7936,LiNbS2,3.46,0.71,15.48,12.01
mp-754596,RbGaO2,1.76,2.47,4.66,3.09
mp-7825,K2GeF6,1.43,5.8,8.51,2.03
mp-772231,RbCrO2,2.15,2.8,10.55,4.62
mp-7467,RbCuO2,2.01,0.91,6.09,4.04
mp-11869,HfSnPd,4.43,0.38,23.92,19.63
mp-571648,Rb2MnCl6,1.8,1.2,7.28,3.24
mp-29754,SrLiN,2.6,0.26,13.48,6.78
mp-22977,CsVCl3,1.76,0.48,15.17,3.08
mp-22998,CrSBr,3.99,0.18,20.01,15.92
mp-554955,MgCrF6,1.59,1.53,5.98,2.53
mp-557668,MnPtF6,1.84,1.87,5.74,3.4
mp-9919,LiZnSb,4.43,0.41,34.18,19.6
mp-22950,CsNiCl3,1.87,0.82,9.97,3.48
mp-10667,SrAgP,16.03,0.11,277.78,256.84
mp-568661,Cd(InSe2)2,2.79,0.77,11.66,7.76
mp-15687,KZnAs,5.74,0.2,38.01,33.0
mp-4359,Sr2PdO3,2.39,0.23,16.04,5.69
mp-13947,Rb2HfF6,1.46,7.13,9.51,2.12
mp-9166,MgCN2,1.83,3.76,8.86,3.36
mp-27832,Tl2SnCl6,1.88,2.48,100.8,3.52
mp-961684,LiCaAs,2.58,1.81,10.79,6.64
mp-764362,LiNiF3,1.52,4.84,7.38,2.31
mp-697038,Ba2H6Ru,2.11,1.87,11.69,4.44
mp-22936,Ca2NCl,2.15,2.37,14.05,4.61
mp-8753,K4HgP2,2.22,0.94,8.58,4.91
mp-27178,HgPS3,2.47,1.75,11.69,6.1
mp-6972,YCuO2,2.21,2.63,11.77,4.87
mp-27702,InClO,1.86,2.36,7.19,3.47
mp-4124,CaCN2,1.83,3.58,8.38,3.34
mp-754065,Hg(SbO3)2,2.28,0.52,14.44,5.2
mp-35539,Zn2GeSe4,2.76,1.39,10.78,7.62
mp-20187,LiInSe2,2.43,1.57,9.14,5.92
mp-567931,InSiTe3,3.54,0.46,19.83,12.55
mp-7482,RbHgF3,1.74,0.65,77.88,3.02
mp-755287,Ca3CdO4,2.06,2.52,17.19,4.25
mp-28423,Ga2TeSe2,2.62,1.61,9.7,6.85
mp-28084,Rb2PdBr6,2.16,0.62,8.93,4.68
mp-3982,KCuO2,2.03,0.86,6.17,4.14
mp-27829,Rb2SeCl6,1.79,2.61,8.86,3.22
